,panel_name,total_loan_amt,9in10yr_loan_amt,9in100yr_loan_amt,21in10yr_loan_amt,21in100yr_loan_amt
453,SECURITYNATIONAL MORTGAGE COMP,319,0.0,0.0,0.0,0.0
454,SEMPER HOME LOANS,383,0.0,0.0,0.0,0.0
455,SERVICE CU,916,0.0,0.0,0.0,0.0
456,SHAMROCK FINANCIAL CORP,5097,0.0,248.0,248.0,248.0
457,SHANGHAI CMRL BK SF BR,1680,0.0,0.0,0.0,0.0
458,SHARON CU,7616,0.0,0.0,0.0,0.0
459,SHREWSBURY FCU,448,0.0,0.0,0.0,0.0
460,SIERRA PACIFIC MORTGAGE,42626,268.0,873.0,2435.0,5004.0
461,SIGNATURE BK NA,650,0.0,0.0,0.0,650.0
462,SILICON VALLEY BK,20621,0.0,0.0,719.0,719.0
463,SIMSBURY B&TC,1095,0.0,568.0,568.0,568.0
464,"SIRVA MORTGAGE, INC.",1136,0.0,0.0,486.0,486.0
465,SOUTH SHORE BK,20682,0.0,1876.0,3629.0,5047.0
466,SOUTHBRIDGE SVG BK,3768,0.0,953.0,2141.0,2641.0
467,SOUTHERN MA CU,172,0.0,0.0,0.0,0.0
468,SPENCER SVG BK,8719,0.0,0.0,0.0,0.0
469,ST ANNES CU OF FALL RIVER,3186,0.0,0.0,490.0,490.0
470,ST JEANS CU,507,0.0,0.0,0.0,0.0
471,STATE DEPT FCU,161,0.0,0.0,0.0,0.0
472,"STEARNS LENDING, INC.",58772,0.0,826.0,4616.0,6670.0
473,STEPSTONE MORTGAGE COMPANY,1074,0.0,391.0,0.0,391.0
474,STERLING NB,1685,0.0,0.0,0.0,435.0
475,STIFEL B&T,10246,0.0,248.0,950.0,950.0
476,STONEGATE MORTGAGE LLC,835,0.0,0.0,0.0,0.0
477,STONEHAMBK,32376,0.0,1986.0,2726.0,3726.0
478,STOUGHTON CO-OP BK,1215,0.0,0.0,0.0,0.0
479,SUNTRUST BK,498,0.0,0.0,0.0,0.0
480,SUNTRUST MTG,11849,0.0,631.0,788.0,1168.0
481,T D BK NA,88987,0.0,7692.0,8188.0,10865.0
482,TALMER B&TC,940,0.0,0.0,0.0,0.0
483,THE MONEY SOURCE,1445,0.0,0.0,0.0,356.0
484,THIRD FS&LA,3192,0.0,0.0,200.0,200.0
