,panel_name,loan_amount,originations,banksize
77,BMI FCU,432,1,3
78,BMO HARRIS BK NA,4223,5,3
79,BNY MELLON NA,218517,214,2
80,BOFI FED BK,13534,14,3
81,BOKF NA,17008,44,3
82,BOSTON FRFTRS CU,93753,317,2
83,BOSTON PRIVATE B&TC,733724,807,1
84,BRAINTREE CO-OP BK,81493,309,2
85,BRANCH BKG&TC,56911,99,2
86,BRIDGEVIEW BANK MTG COMP LLC,3912,13,3
87,BRIDGEVIEW BK GRP,298,1,3
88,BRIDGEWATER CU,58947,252,2
89,BRIDGEWATER SVG BK,202556,711,2
90,BRISTOL CTY SVG BK,108609,291,2
91,"BROKER SOLUTIONS, INC",34156,111,2
92,BROOKLINE BK,317912,322,2
93,BROTHERHOOD CU,1453,6,3
94,BURKE & HERBERT B&TC,223,1,3
95,"CALIBER HOME LOANS, INC.",112904,347,2
96,CAMBRIDGE MTG GRP,119163,411,2
97,CAMBRIDGE PORTUGUESE CU,601,8,3
98,CAMBRIDGE SVG BK,262278,419,2
99,CAMBRIDGE TC,187600,257,2
100,CAMDEN NB,102558,331,2
101,CANTON CO-OP BK,30942,113,3
102,CAPE ANN SVG BK,2285,6,3
103,CAPE COD CO-OP BK,23052,66,3
104,CAPE COD FIVE CENTS SVG BK,157368,464,2
105,CAPITAL BANK NA,4570,13,3
106,CAPITAL ONE NA,353429,185,2
107,CAPITOL FSB,11697,25,3
108,CARROLLTON BK,417,1,3
109,CATHAY BK,20271,36,3
110,CBC NB,33003,106,2
111,CENT MTG CO D/B/A CENTURY LEND,326,1,3
112,CENTRAL ONE FED CU,9125,29,3
113,CENTREVILLE BANK,1985,5,3
114,CENTURY B&TC,97810,530,2
115,CERTUSBANK NA,1951,7,3
116,CHARLES RIVER BK,46053,205,2
117,CHARLES SCHWAB BK,57564,65,2
118,CHELSEA BK,4295,22,3
119,CHEMUNG CANAL TC,701,2,3
120,CHICOPEE SVG BK,730,2,3
121,CIT BK NA,1007,1,3
122,CITIBANK NA,651381,1297,1
123,"CITIMORTGAGE, INC.",347,1,3
124,CITIZENS BK NA,735555,2120,1
125,"CITIZENS BK, NA",259381,881,2
126,CITIZENS NB OF GREATER STL,168,1,3
127,CITIZENS ST BK,4,1,3
128,CITY NB,5862,4,3
129,CITY OF BOSTON CU,120561,754,2
130,CLEARVIEW FCU,800,5,3
131,CLINTON SVG BK,35314,46,2
132,CMNTY BK OAK PARK RIVER FOREST,523,2,3
133,CNB MORTGAGE COMPANY,288,1,3
134,COASTAL HERITAGE BANK,47208,134,2
135,COASTAL HERITAGE BK,64665,167,2
136,COASTWAY CMNTY BK,45782,89,2
137,COLE TAYLOR BK,32380,107,2
138,COLONIAL FSB,63614,217,2
139,COLONIAL SVG FA,834,4,3
140,COLORADO FSB,14887,44,3
141,COMERICA BK,7268,2,3
142,COMMERCE B&TC,76669,160,2
143,COMMERCE BK,400,1,3
144,COMMONWEALTH CO-OP BK,50849,101,2
145,"COMMONWEALTH MORTGAGE, LLC",200266,679,2
146,COMMONWEALTH UTILITIES EMPL CU,637,9,3
147,COMMUNITY CU OF LYNN,5397,18,3
148,COMMUNITY FSB,31300,101,3
149,COMMUNITY ST BK OF MO,525,1,3
150,COMPASS BK,7397,8,3
151,CONGRESSIONAL BK,5953,19,3
152,CONGRESSIONAL FCU,290,1,3
153,CONNECTICUT HOME MORTGAGE,721,2,3
154,CONNEXUS CU,625,8,3
155,"CONTINENTAL HOME LOANS, INC",2619,7,3
156,CONTOUR MORTGAGE CORPORATION,3206,11,3
157,COOPERATIVE BK,151688,300,2
158,CORNING FCU,30,1,3
159,"CORTRUST MORTGAGE, INC.",417,1,3
160,COUNTRY BK FOR SVG,5149,6,3
161,COUNTRYSIDE FCU,540,2,3
162,COVENTRY CU,7121,64,3
163,CRESCENT CU,67930,378,2
164,CRESCENT MTG CO,26494,87,3
165,CROSSCOUNTRY MORTGAGE INC.,85257,253,2
166,CUSTOMERS BK,23950,4,3
167,DB PRIVATE WEALTH MORTGAGE,13575,8,3
168,DEAN CO-OP BK,101635,425,2
169,DEDHAM INST FOR SVG,432078,883,2
170,DEERE EMPL CU,36,1,3
171,DELTA CMNTY CU,752,2,3
172,DEPARTMENT OF CMRC FCU,196,1,3
173,DEVON BK,300,1,3
174,DIGITAL FCU,293471,944,2
175,DIME BK,318,1,3
176,DIRECT FED CU,109362,334,2
177,DISCOVER BK,681,10,3
178,DISCOVER HOME LOANS,37475,148,2
179,DITECH FINANCIAL LLC,211622,844,2
180,DITECH MORTGAGE CORP,28895,87,3
181,DOLLAR BK FSB,24593,40,3
182,DRAPER AND KRAMER MORTGAGE COR,3181,8,3
183,"DREW MORTGAGE ASSOCIATES, INC.",31465,99,3
184,"E MORTGAGE MANAGEMENT, LLC",36116,133,2
185,EAGLE BK,22675,66,3
186,EAST BOSTON SAVINGS BANK,367512,311,2
187,EAST BOSTON SVG BK,532822,566,1
188,EAST CAMBRIDGE SVG BK,150679,230,2
189,EAST WEST BK,38248,51,2
