,census_tract_number,panel_name,loan_amount,rank
2782,402.0,WELLS FARGO BK NA,4642,2.0
2749,402.0,GUARANTEED RATE INC.,4218,3.0
2754,402.0,LOANDEPOT.COM,3770,4.0
2773,402.0,"SALEM FIVE MORTGAGE CO., LLC",3269,5.0
2748,402.0,FIRST REPUBLIC BK,3122,6.0
2726,402.0,BANK OF AMER NA,3035,7.0
2779,402.0,UNION YES FCU,2823,8.0
2761,402.0,"MORTGAGE MASTER, INC.",2538,9.0
2769,402.0,"PROSPECT MORTGAGE, LLC",2349,10.0
2908,403.0,UNION YES FCU,31663,1.0
2841,403.0,GUARANTEED RATE INC.,21348,2.0
2850,403.0,JPMORGAN CHASE BK NA,15428,3.0
2887,403.0,"PROSPECT MORTGAGE, LLC",13401,4.0
2853,403.0,LOANDEPOT.COM,13178,5.0
2918,403.0,WELLS FARGO BK NA,12309,6.0
2880,403.0,PEOPLES UNITED BK,9951,7.0
2863,403.0,"MORTGAGE MASTER, INC.",8834,8.0
2876,403.0,NORTHERN B&TC,8717,9.0
2881,403.0,PEOPLES UNITED BK NA,7588,10.0
2933,404.01,BERKELEY POINT CAPITAL,21800,1.0
3012,404.01,UNION YES FCU,13066,2.0
2966,404.01,GUARANTEED RATE INC.,8149,3.0
2993,404.01,PEOPLES UNITED BK NA,6467,4.0
2972,404.01,LOANDEPOT.COM,5424,5.0
2996,404.01,"PROSPECT MORTGAGE, LLC",5296,6.0
2969,404.01,JPMORGAN CHASE BK NA,4646,7.0
2992,404.01,PEOPLES UNITED BK,4627,8.0
2944,404.01,CITIZENS BK NA,4317,9.0
2979,404.01,"MORTGAGE MASTER, INC.",4305,10.0
3134,406.0,UNION YES FCU,23718,1.0
3073,406.0,GUARANTEED RATE INC.,16357,2.0
3051,406.0,COOPERATIVE BK,12300,3.0
3114,406.0,"PROSPECT MORTGAGE, LLC",10221,4.0
3079,406.0,JPMORGAN CHASE BK NA,10181,5.0
3082,406.0,LOANDEPOT.COM,9172,6.0
3027,406.0,BANK OF AMER NA,8158,7.0
3145,406.0,WELLS FARGO BK NA,6988,8.0
3108,406.0,PEOPLES UNITED BK,6072,9.0
3078,406.0,JEANNE D'ARC CU,5954,10.0
3216,408.01,"PROSPECT MORTGAGE, LLC",19820,1.0
3172,408.01,EAST BOSTON SAVINGS BANK,12413,2.0
3182,408.01,GUARANTEED RATE INC.,7759,3.0
3233,408.01,UNION YES FCU,5596,4.0
3180,408.01,FIRST REPUBLIC BK,4950,5.0
3152,408.01,BANK OF AMER NA,4553,6.0
3164,408.01,CITIBANK NA,4408,7.0
3242,408.01,WELLS FARGO BK NA,4097,8.0
3187,408.01,LOANDEPOT.COM,3841,9.0
3197,408.01,"MORTGAGE NETWORK, INC",3291,10.0
3280,501.01,GUARANTEED RATE INC.,6617,1.0
3263,501.01,DIGITAL FCU,4126,2.0
3296,501.01,MSA MORTGAGE LLC,3346,3.0
