,census_tract_number,panel_name,loan_amount,rank
11769,1303.0,GUARANTEED RATE INC.,9265,1.0
11826,1303.0,SANTANDER BK NA,7884,2.0
11835,1303.0,UNION YES FCU,7665,3.0
11780,1303.0,LOANDEPOT.COM,7420,4.0
11729,1303.0,BANK OF AMER NA,6804,5.0
11843,1303.0,WELLS FARGO BK NA,5492,6.0
11733,1303.0,BERKSHIRE BK,5443,7.0
11797,1303.0,NEEDHAM BK,5182,8.0
11746,1303.0,CITY OF BOSTON CU,5134,9.0
11761,1303.0,FAIRWAY INDP MORTGAGE CORP,4640,10.0
11870,1304.02,COOPERATIVE BK,9313,1.0
11969,1304.02,UNION YES FCU,8675,2.0
11895,1304.02,GUARANTEED RATE INC.,7457,3.0
11908,1304.02,LOANDEPOT.COM,7454,4.0
11952,1304.02,"QUICKEN LOANS, INC.",6971,5.0
11975,1304.02,WELLS FARGO BK NA,4782,6.0
11954,1304.02,RESIDENTIAL MORTGAGE SERVICES,4687,7.0
11928,1304.02,NEEDHAM BK,4644,8.0
11849,1304.02,BANK OF AMER NA,4256,9.0
11850,1304.02,BANK OF CANTON,3110,10.0
11995,1304.04,DIGITAL FCU,9849,1.0
12012,1304.04,GUARANTEED RATE INC.,5987,2.0
11993,1304.04,COOPERATIVE BK,4965,3.0
12065,1304.04,UNION YES FCU,3634,4.0
12019,1304.04,LOANDEPOT.COM,3383,5.0
12048,1304.04,"QUICKEN LOANS, INC.",3237,6.0
12032,1304.04,NEEDHAM BK,2322,7.0
11977,1304.04,BANK OF AMER NA,2224,8.0
12055,1304.04,SANTANDER BK NA,1949,9.0
11980,1304.04,BERKSHIRE BK,1845,10.0
12105,1304.06,LOANDEPOT.COM,4041,1.0
12099,1304.06,GUARANTEED RATE INC.,3434,2.0
12128,1304.06,"QUICKEN LOANS, INC.",2763,3.0
12146,1304.06,WELLS FARGO BK NA,2651,4.0
12134,1304.06,SAGE BK,2609,5.0
12131,1304.06,RESIDENTIAL MORTGAGE SERVICES,1968,6.0
12092,1304.06,FAIRWAY INDP MORTGAGE CORP,1830,7.0
12075,1304.06,BANK OF AMER NA,1642,8.0
12141,1304.06,UNION YES FCU,1559,9.0
12117,1304.06,NEW PENN FINANCIAL LLC,1302,10.0
12218,1401.02,NEEDHAM BK,7439,1.0
12188,1401.02,GUARANTEED RATE INC.,6266,2.0
12242,1401.02,"QUICKEN LOANS, INC.",4509,3.0
12197,1401.02,LOANDEPOT.COM,4470,4.0
12245,1401.02,RESIDENTIAL MORTGAGE SERVICES,3705,5.0
12261,1401.02,UNION YES FCU,3661,6.0
12151,1401.02,BLUE HILLS BK,3620,7.0
12267,1401.02,WELLS FARGO BK NA,3423,8.0
12149,1401.02,BANK OF AMER NA,2988,9.0
12153,1401.02,BOSTON FRFTRS CU,2926,10.0
12351,1401.05,RESIDENTIAL MORTGAGE SERVICES,5631,1.0
12349,1401.05,"QUICKEN LOANS, INC.",4805,2.0
12277,1401.05,BLUE HILLS BK,3262,3.0
12348,1401.05,"PROSPECT MORTGAGE, LLC",2883,4.0
12319,1401.05,LOANDEPOT.COM,2495,5.0
12313,1401.05,GUARANTEED RATE INC.,2465,6.0
12301,1401.05,FAIRWAY INDP MORTGAGE CORP,2266,7.0
12357,1401.05,SAGE BK,1991,8.0
12274,1401.05,BANK OF AMER NA,1889,9.0
12358,1401.05,"SALEM FIVE MORTGAGE CO., LLC",1824,10.0
12386,1401.06,NEEDHAM BK,2117,1.0
12377,1401.06,LOANDEPOT.COM,1276,2.0
12369,1401.06,BLUE HILLS BK,656,3.0
12375,1401.06,HOME LOAN INV BK FSB,548,4.0
12368,1401.06,BERKSHIRE BK,545,5.0
12380,1401.06,"MEMBERS MORTGAGE COMPANY, INC.",401,6.0
12371,1401.06,DEDHAM INST FOR SVG,397,7.0
12383,1401.06,"MORTGAGE NETWORK, INC",391,8.0
12373,1401.06,FAIRWAY INDP MORTGAGE CORP,330,9.0
12374,1401.06,GUARANTEED RATE INC.,329,10.0
12421,1401.07,GUARANTEED RATE INC.,3976,1.0
12448,1401.07,"QUICKEN LOANS, INC.",3772,2.0
12426,1401.07,LOANDEPOT.COM,2695,3.0
12450,1401.07,RESIDENTIAL MORTGAGE SERVICES,2101,4.0
12392,1401.07,BLUE HILLS BK,1962,5.0
12454,1401.07,SANTANDER BK NA,1858,6.0
12458,1401.07,UNION YES FCU,1682,7.0
12463,1401.07,WELLS FARGO BK NA,1605,8.0
12409,1401.07,EASTERN BK,1561,9.0
12408,1401.07,EAST BOSTON SVG BK,1413,10.0
12488,1402.01,GUARANTEED RATE INC.,3049,1.0
12510,1402.01,"QUICKEN LOANS, INC.",2817,2.0
12470,1402.01,BLUE HILLS BK,2276,3.0
12477,1402.01,CITY OF BOSTON CU,1834,4.0
12513,1402.01,RESIDENTIAL MORTGAGE SERVICES,1696,5.0
12467,1402.01,BANK OF CANTON,1473,6.0
12503,1402.01,NEEDHAM BK,1255,7.0
12500,1402.01,MORTGAGE EQUITY PARTNERS,1032,8.0
12471,1402.01,BOSTON FRFTRS CU,1021,9.0
12474,1402.01,CITIBANK NA,1008,10.0
12578,1402.02,GUARANTEED RATE INC.,9365,1.0
12620,1402.02,"QUICKEN LOANS, INC.",9305,2.0
12540,1402.02,BLUE HILLS BK,6739,3.0
12624,1402.02,RESIDENTIAL MORTGAGE SERVICES,4582,4.0
12627,1402.02,SAGE BK,4104,5.0
12535,1402.02,BANK OF AMER NA,4056,6.0
12587,1402.02,LOANDEPOT.COM,3467,7.0
12629,1402.02,SANTANDER BK NA,3455,8.0
12565,1402.02,FAIRWAY INDP MORTGAGE CORP,2499,9.0
12618,1402.02,"PROSPECT MORTGAGE, LLC",2332,10.0
12663,1403.0,DEDHAM INST FOR SVG,7209,1.0
12691,1403.0,LOANDEPOT.COM,6093,2.0
12716,1403.0,"QUICKEN LOANS, INC.",5851,3.0
12667,1403.0,EAST BOSTON SVG BK,5203,4.0
12647,1403.0,BANK OF AMER NA,4072,5.0
12681,1403.0,GUARANTEED RATE INC.,3467,6.0
12736,1403.0,WELLS FARGO BK NA,3118,7.0
12719,1403.0,RESIDENTIAL MORTGAGE SERVICES,2789,8.0
12651,1403.0,BLUE HILLS BK,2284,9.0
12660,1403.0,CITY OF BOSTON CU,2178,10.0
12838,1404.0,"QUICKEN LOANS, INC.",10599,1.0
12803,1404.0,LOANDEPOT.COM,4462,2.0
12745,1404.0,BANK OF AMER NA,4052,3.0
12790,1404.0,GUARANTEED RATE INC.,3571,4.0
12748,1404.0,BLUE HILLS BK,3415,5.0
12847,1404.0,SANTANDER BK NA,3108,6.0
12757,1404.0,CITIBANK NA,3041,7.0
12862,1404.0,WELLS FARGO BK NA,2781,8.0
12758,1404.0,CITIZENS BK NA,2741,9.0
12841,1404.0,RESIDENTIAL MORTGAGE SERVICES,2438,10.0
12927,1805.0,MSA MORTGAGE LLC,14421,1.0
12953,1805.0,"QUICKEN LOANS, INC.",6587,2.0
12913,1805.0,LOANDEPOT.COM,5387,3.0
12969,1805.0,UNION YES FCU,4998,4.0
12960,1805.0,"SALEM FIVE MORTGAGE CO., LLC",4679,5.0
12956,1805.0,RIVER WKS CU,4272,6.0
12905,1805.0,GUARANTEED RATE INC.,4212,7.0
12958,1805.0,SAGE BK,4048,8.0
12976,1805.0,WELLS FARGO BK NA,3105,9.0
12955,1805.0,RESIDENTIAL MORTGAGE SERVICES,2854,10.0
12980,9803.0,MANSFIELD CO-OP BK,341,1.0
12981,9803.0,MUTUAL BK,300,2.0
12983,9807.0,FEDERAL SVGS BK,557,1.0
12982,9807.0,BERKSHIRE BK,445,2.0
12985,9810.0,GUARANTEED RATE INC.,396,1.0
12984,9810.0,COMMERCE B&TC,4,2.0
12990,9811.0,GUARANTEED RATE INC.,517,1.0
12989,9811.0,GMH MORTGAGE SERVICES LLC,429,2.0
12991,9811.0,NORTHERN B&TC,341,3.0
12987,9811.0,"EMBRACE HOME LOANS, INC.",300,4.0
12988,9811.0,FIRST HOME MORTGAGE CORPORATIO,254,5.0
12992,9811.0,"STEARNS LENDING, INC.",225,6.0
12986,9811.0,BANK OF AMER NA,218,7.0
12994,9812.02,HINGHAM INST FOR SVG,1250,1.0
12996,9812.02,LOANDEPOT.COM,1203,2.0
12995,9812.02,JPMORGAN CHASE BK NA,545,3.0
12999,9812.02,WEBSTER BK NA,480,4.0
12998,9812.02,"MORTGAGE NETWORK, INC",447,5.0
12993,9812.02,CENT MTG CO D/B/A CENTURY LEND,326,6.0
12997,9812.02,MEETINGHOUSE BK,253,7.0
13018,9813.0,GUARANTEED RATE INC.,8118,1.0
13012,9813.0,FAIRWAY INDP MORTGAGE CORP,1861,2.0
13001,9813.0,BANK OF AMER NA,1687,3.0
13036,9813.0,RESIDENTIAL MORTGAGE SERVICES,1509,4.0
13046,9813.0,UNITED SHORE FINANCIAL SERVICE,1215,5.0
13045,9813.0,UNION YES FCU,1193,6.0
13031,9813.0,PATRIOT COMNTY BK,1146,7.0
13004,9813.0,BLUE HILLS BK,980,8.0
13034,9813.0,"QUICKEN LOANS, INC.",865,9.0
13033,9813.0,"PROSPECT MORTGAGE, LLC",862,10.0
13050,9815.01,BOSTON PRIVATE B&TC,1350,1.0
13051,9815.02,JG WENTWORTH HOME LENDING LLC,310,1.0
13065,9817.0,WATERTOWN SVG BK,3720,1.0
13057,9817.0,FIRST REPUBLIC BK,2340,2.0
13052,9817.0,BLUE HILLS BK,1432,3.0
13056,9817.0,EASTERN BK,1275,4.0
13054,9817.0,CITIZENS BK NA,1183,5.0
13063,9817.0,PNC BK NA,1014,6.0
13064,9817.0,SANTANDER BK NA,760,7.0
13060,9817.0,MORGAN STANLEY PRIV BK NA,719,8.0
13059,9817.0,JPMORGAN CHASE BK NA,700,9.0
13062,9817.0,PEOPLES UNITED BK,590,10.0
13066,9818.0,WELLS FARGO BK NA,383,1.0
